,Tweets,cluster
2556,based captured russian manual assault unit detachment battalionsized force designed perform assaults fortified tree lines urban environments essentially reinforced battalion specific focus assault operations,1
2557,russian forces revamping assault tactics experiencing failures current structure battalion tactical groups btgs getting replaced new unit called assault unit assault detachment discuss thread,1
2558,upheld stopping nato expansion snub russia,0
2559,thats exactly opposite mention taiwan read ukraine shouldnt join nato sanctions removed sounds like putins speech,1
2560,saying territorial integrity different saying territorial integrity internationally recognized borders devil details,1
2561,people little internet draw incorrect conclusions war videos good reasons things mentioned don't want enemy know capabilities,1
2562,china released chinas position political settlement ukraine crisis ministry foreign affairs website meaningless statement doesn't mention important russian army needs withdraw ukraine rest prattle,1
2563,dont recall calling bad said mistakes important sure mistakes processed avoided future pretend fine mistakes learn doomed repeat,1
2564,think confusion having guerrilla forces lack coordination selfdefense forces early stages versus issues centralized command structure exist simultaneously uncoordinated units issue moment,1
2565,commanders fighting ground people issue commands coming commanders ground think know better officers ground let challenge orders,1
2566,indicated issue soldiers commanders groundusually soldier officer cant initiative punished superior far away following idiotic instructions,1
2567,putins speech summary family members relatives died war lets talk sanctions lives better,1
2568,clown tries save face shortage ammo vuhledar area cant admit failed decided blame abstract weather ammo shortages shelling vuhledar area stops weeks,1
2569,problem trainingteaching focus sergeants lieutenants captains majors talk training incompetent senior officer armylevel headquarters plans operation exactly like russians goes toilet,1
2570,special prefer talk publicly read dont want easier different ways counter depends available means,1
2571,yes wasnt perfect brigade general flexibility terms decisions ability necessary maneuvers ability teamssquadsplatoons determine best course action based tactical situation played positive role,1
2572,bakhmut experience shows system needs toptobottom bottomtotop initiative encouraged centralized sovietstyle management replaced natostyle leadership win need flexible adapt soon possible,1
2573,areas mistakes avoided units performed greatly ukrainian army improved lot it's possible turn colonel general years sovietstyle experience natolike commander performing month course,1
2574,immobile units limited weapons tied specific positions deprived maneuver having little leeway actions easier targets wagnerite cannonfodder assaults designed fight sovietstyled defenses,1
2575,senior officers remotely micromanage intervene processes platoon company battalion level worsening situation significantly,1
2576,insufficient freedom select defensive positions positions selected officers remote command center units ground officers avoid challenging ridiculous orders cc fearing repercussions resulting lack initiative,1
2577,units allowed determine armament based needs resources limited based regulations papers bureaucracy tactical needs doesnt work,1
2578,haven't bakhmut area spoke multiple people soldier lieutenant colonel instead exclude personal anecdotes included commonly mentioned issues hinder ability units defend positions effectively,1
2579,ways fight yes plenty ways counter assaults minimal losses like focus mistakes avoided,1
2580,close trenches enemy uses hand grenades cause damage assaults trenches,1
2581,like emphasize generalization situations vary treat general summary,1
2582,artillery fire ends defenders measures support team armed ags rpgs machine gun opens suppressive fire allowing assault teams closer trenches usually try engage outflank defenders,1
2583,time usually covered support team armed mortar automatic grenade launchers ags ags given assault group replaced soldiers armed rpgs instead,1
2584,wagnerites usually break small assault teams consisting people team usually led scout tasked observe locate mined areas ahead followed regular riflemen machine gunner,1
2585,targets determined enemy artillery mortars shell trenches days suppressing ability defenders fight observe covered fire assault teams start moving closer trenches significant resistance,1
2586,attack enemy dispatches quadcopter gather intelligence defenders number people armament trench dugout disposition based information wagnerites adjust number assault teams numerical advantage,1
2587,let's imagine situation ukrainian squad possibly people tasked securing tree line trenches common occurrence war,1
2588,biggest threats posed wagner freedom assaults regular forces officers follow rules defined military regulations based soviet military doctrine let's closer look wagner's tactics,1
2589,don't hear advancement regular russian brigades reports wagner advancing certain areas it's true it's achieved extrajudicial executions irrational losses situation little bit complex,1
2590,agree people decrease fire rates it's ammo shortage fire quarter absolutely that's hardly shortage artillery ammo wage war years adjusted long war,1
2591,conducting multiple attacks multiple directions simultaneously wasn't large attack different brigades battalions tasked different missions perception battle vuhledar media overall wrong,1
2592,lost presence havent succeeded taking southern dachi,1
2593,issue it's troops se certain senior officers colonels generals don't military gene pool,1
2594,thats trying successfully die artillery reach,1
2595,means dont target directly use indirect fire covered positions essentially like spg,1
2596,mobilization means soldiers retired colonels generals think went west point retirement bring old soviet style missed point completely,1
2597,update provide examples demonstrate approach works better combination western weaponry western approach ensure better outcomes war,1
2598,sadly case armed forces ukraine it's easy rid sovietstyle command system entirely small soviet army can't defeat large soviet army need emphasize decentralized approach,1
2599,unlike foe ukrainian soldiers officers necessary changes determine best course action battlefield based judgment initiative creativity far superior system needs indoctrinated,1
2600,despite overwhelming numerical advantage russian occupational forces ukrainian forces area demonstrate superiority big role played successful implementation elements western natolike governance system mission command,1
2601,alongside infantry reinforcements enemy continues saturate area additional artillery improve tactical situation russian assault groups attempt establish foothold near vuhledar albeit results,1
2602,armored vehicles cover delivery evacuation infantry enemy actively uses tanks closed positions sheer numbers enemy artillery suppress artillery allowing groups closer,1
2603,situation vuhledar area remains stable enemy doesn't reduce pressure despite losses tactics remain advancing infantry groups covered tank artillery fire,1
2604,buddies saying lost soldier gained blogger,1
2605,lesson learned war situation change degrees hours tomorrow decide tenfold resources assault yield results know guarantees early conclude,1
2606,correct lot confusion direction mentioned example enemy tried assault direction bohoyavlenka interpreted mediabloggers attack bohoyavlenka furthermore pressofficers mod,1
2607,brief update enemy continues occasional assaults vuhledar area results reinforcements comprised mobilized continue arrive area information enemy successes west vuhledar false,1
2608,wouldn't believe says engaging assault missions albeit haven't main force past weeks don't forget release disinformation statements confuse operations,1
2609,stopped initial assault january failed attack small infantry groups single day multiple times results,1
2610,large assaults seen videos day try advance multiple times small squads supported vehicles stops night time foggy weather minimize infantry assaults,1
2611,ask question answer got order,1
2612,wait till videos published,1
2613,enemy fruitless attempt advance tanks minefield day vehicles assaulting infantry groups eliminated pow's captured,1
2614,belongs good planing cant wordy limited number characters tweet,1
2615,planning publish imagery infamous armored vehicle columns coming weeks don't want miss sure follow retweet twitter algorithms favor warrelated information,1
2616,ukraine achieved success combination factors good planning selection positions bravery soldiers intel smart utilization scarce resources project vuhledar experience war need ammo weapons,1
2617,staggering casualties vdv forces battle kyiv took year restore assault capabilities partially kreminna area long marines restore assault capacities especially catastrophic failure,1
2618,backbone th th brigades consisted sergeants officers ready execute order risky frontal assault execution civilians bucha irpin th brigade committed war crimes,1
2619,people fit forward vanguard assault groups face enemy takes lot experience courage stimulants attack act effectively know chances killed wounded assault,1
2620,makes destruction th th brigades especially important commonly discussed battlefield small percentage people participate actual assault combat roles like artillery face enemy directly,1
2621,battalions th nd russian motor rifle brigades tried advance alongside th th brigades failed special forces partially lost control commander th spetsnaz brigade colonel sergey polyakov killed,1
2622,past weeks enemy attempted advance multiple directions simultaneously hoping outflank defenders occupiers tried advance pavlivka mykil's'ke west east assaulting forces th th brigades,1
2623,thread includes additional details battle vuhledar satellite imagery helps understand visualize situation better break parts publish imagery russian losses later,1
2624,hey dan sure that's publish honestly haven't followed captured day it's it's dozens day it's hard capture decide die reaching vuhledar,1
2625,local report enemy tried advance orikhiv zaporizhia direction failed retreated,1
2626,mod report enemy's assault zaporizhia direction repelled,1
2627,bloggers russians attacking zaporizhia,1
2628,opinion let experts official sources talk,1
2629,correct renamed lot things lately start throwing new names sound like bars tell confuse audience given quoted media bloggers occasionally try careful,1
2630,evidence kia captured maybe future given shoigus patriot area doubt,1
2631,mean accurate terms pavlivka didnt north,1
2632,hopefully foreseeable future able publish highresolution,1
2633,definitely didnt attack far successes moving north pavlivka,1
2634,think mod mistake reporting mappers followed official source resulted inaccurate reflection,1
2635,devastating russia needed mobilize population lost kherson got,1
2636,tomorrow going publish interesting materials failed vuhledar offensive sure follow miss know twitter algorithms work warrelated content,1
2637,brigades th naval infantry brigade th th nd confuse ukrainian motor rifle brigades separate units kaskad vostok pmc patriot bars reserves separate units th th brigades,1
2638,noticed media focuses solely th brigade assaults it's exactly accurate assaults performed multiple units task direction th brigade getting destroyed,1
2639,past hours enemy continued occasional assaults good news vehicles personnel eliminated videos time distance hopefully week able provide evidence,1
2640,thats nd brigade russian,1
2641,hey like bloggers reporters dont cover vuhledar heard great advances area past weeks marines able encircle partially capture vuhledar losses mind tell,1
2642,better ask sounds like typo settlements similar names meant like direction happening bohoyavlenka,1
2643,brought people armor time consequently lost people armor,1
2644,sure like bring replacements th th naval infantry brigades regular motor rifle units thats regular ground forces armament like bmps use taxis deliver infantry assaults,1
2645,thats assault wrote days ago th february,1
2646,pmc patriot bars units active reserves separate units th brigades enemy unlikely achieve strategic success area likely continue useless assaults achieve tactical gains new infantry assault units training,1
2647,initial plan capture vuhledar shattered ukrainian defenders comprised nd th brigades held th th naval infantry brigades units th th nd motor rifle brigades auxiliary units kaskad vostok,1
2648,movement new units vuhledar area hasn't stopped continues nonstop mode late january quality reinforcements assault capabilities remain dubious doesn't mean enemy won't try large assault,1
2649,devastating losses previous assaults enemy continues daily assaults small assault groups covered artillery tank fire results occupiers continue additional units vuhledar area,1
2650,known word vuhledar infamous occupiers soldiers officers figure unit transferred vuhledar area seek ways find way,1
2651,think eager decimate putin alga comprised volunteers mobilized decided die empire remorse,1
2652,yes th th naval infantry regular ground forces mobilized volunteers,1
2653,initially thought use naval infantry vuhledar plan failed marines destroyed moved battalions brigades places,1
2654,it's osint nonpublic information articlesmentions russian language,1
2655,wouldn't qualify real army corps it's like umbrella unit unites bunch battalions scattered frontlines,1
2656,indicator th th brigades longer capable perform significant assaults enemy uses ethnic battalions mobilized retain pressure results predictably disastrous,1
2657,formed tatarstan predominantly albeit entirely comprised ethnic volga tatars thanks information opensource evidence hopefully observe obituaries tatarstan soon,1
2658,based osint it's likely enemy decided utilize socalled volunteer battalion alga nd brigade rd army corps confuse ukrainian nd brigade confirming information published previously,1
2659,vuhledar thread week ago wrote enemy moved brigade d army corps given enemy revealed think it's time add details public,1
2660,talking specific situation underestimating enemy place weeks day exact results definitely feels like somebody places finger,1
2661,indirect evidence people th substances attacks dont want publish solid evidence wonky statements drugged soldiers sound like propaganda,1
2662,sure impression command places finger map tells spot needs taken officers soldiers obey run alive willing fight bring new forces eager fight rinse repeat,1
2663,dont know plenty guys cover form ukrainian going redundant,1
2664,somebody ask release immediately leave answer dont know dont decisions,1
2665,columns destroyed near vuhledar th columns tried push resultsthere longer video hopefully published soon,1
2666,thank quoting crediting want correct said exactly unfortunately it's possible clearly assess damage highest number criticism making sure misinform,1
2667,videos coming days packed infantry vehicles precise artillery hits trapped column flying orcs patience virtue,1
2668,videos mtlb's hopefully released soon,1
2669,don't worry buddy serving country people trench writing mind send coordinates sk gps work fine,1
2670,hey serge wanted quick followup what's vuhledar thought fall week stopped covering change didn't time catch thanks,1
2671,it's hard estimate that's damaged destroyed especially able evacuate way small issue crew abandoned vehicle it's major damage requires repairs vehicle caught fire inside,1
2672,havent seen honest little bit busy stuff public sees videos,1
2673,believe time guys units thought better ni cant sure right difficult identify units obvious like bmd t probably know soon,1
2674,correct depends specific unit units love film oldschool approach release vetoed release pressofficers commanders prioritize security propaganda effects cons,1
2675,great news day enemy attempted series assaults vuhledar's direction armored vehicles different types damaged completely destroyed hopefully videos released soon public,1
2676,got guess incorrect statements saying havedo form offensive formations area incorrect saying definitely going offensive incorrect,1
2677,armies include brigades reserve units breakthrough assaults follow vanguard units brigade present dispatch battalion end battalions different brigades armies,1
2678,vuhledar strategically important opinion people disagree wagner bakhmut partially big political gain prigozhyn obviously plays game thinks place russia putin,1
2679,units previously sustained critical losses rotated replenish losses staffed mobilized soldiers officers failed achieve results th th brigades don't guys achieve,1
2680,enemy continues saturate area artillery infantry it's unclear enemy planning develop largescale offensive lowerquality troops concentrate troops small tactical advancements,1
2681,time it's important rush conclusions based large concentrations quality reserves lower quality destroyed units th th brigades,1
2682,enemy hasn't stopped moving additional forces vuhledar area concentrated sizeable forces mixed units different brigades armies,1
2683,current situation vuhledar stable enemy continues assaults small infantry groups covered artillery indirect tank fire success enemy hesitant perform largescale attacks,1
2684,unfortunately don't large banners announcement reside,1
2685,talking shoigu general army rank serving single day army got,1
2686,definitely grouping attack giving number gathered far larger initial force th th tried rush vuhledar adding forces day nonstop,1
2687,unofficial motto gru roughly means stars ukrainian gur motto hand sapiens dominabitur astris wise rule stars,1
2688,damage control ruzzian propaganda playbook,1
2689,step claim enemy planning attack,1
2690,step claim enemy offensive failed preemptive strike thwarted enemy plans launch offensive,1
2691,forgot change late edit,1
2692,want post soon need gather stories dont fs things come money resolve financial problems like mortgage debts buy new car etc,1
2693,times point dont think change strike times things learn,1
2694,russians pretend happened didn't bother mention sure retweet help find happened,1
2695,photo consequences strike happened week ago result casualties buildings sustained structural damage,1
2696,kyrylivka located approximately kilometers southeast vuhledar central town educational administrative buildings turned assembly area enemy forces gathered dispatching frontline,1
2697,launching vuhledar offensive occupational forces unconcernedly decided set assembly area central kyrylivka far vuhledar let's work week ago,1
2698,stopped moving stuff large columns learned lesson use civilian school buses mobilized,1
2699,probably exist brigade anymore core annihilated times severely crippled limbs eyes etc,1
2700,losses getting replaced mobilized th faade right,1
2701,overall agree let's forget wasn't issue soviet union citizen barrier troops ready mow,1
2702,published videos unpublished stuff hopefully released soon enemy losses staggering got assaulting company kia single assault instances recorded,1
2703,eventually bringing fresh troops mobilized haven't tactics easily countered destroy artillery covers assaulting infantry need means counter artillery fire,1
2704,enemy attempted outflank vuhledar east sustained losses retreat mykil's'ke,1
2705,overall situation remains dangerous increasing numbers enemy infantry artillery,1
2706,fresh scorch marks fresh snow visually confirm enemy continues attempts establish control dachi's area covering assaulting infantry groups heavy artillery fire,1
2707,finally got time share images shed light what's going near vuhledar previously indicated reports heaviest combats happened areas southern eastern dachi,1
2708,significant changes past hours enemy continues increase number artillery infantry area enemy preparing slow grinding tactics previously seen near bakhmut,1
2709,saw drone screens dead it's propaganda ask week assaults results happened attackers gains cope,1
2710,sure humans wont hurt hot coffee,1
2711,kofiaccount attached account use buy imagery comes square kilometers costs thousand dollars wanted maybe free going radical,1
2712,long story short thief recruited double warlord warlord dies generals agree hide fact death avoid power struggle continue military campaign,1
2713,real putin dies watched kagemusha akira kurosawa,1
2714,asking help good opportunity let know access skysat m planet imagery tif visual strictly academic research purposes asking friend researching unique climate phenomena,1
2715,it's effective sar observe optically,1
2716,himars talisman looks like reflector creates noise sar satellite reflects microwaves effective annoying decoy,1
2717,definitely assaulting positions statements mod definitely large initially assumed digging defenses conflicting simultaneously,1
2718,yes package great problem talking terms packages streams lendlease adopted,1
2719,heard entire units like company refuse positions ignore commands eventually days later pop battlefield imitate attack minimal resistance retreat happened pavlivka,1
2720,mraps m doesn't require months training,1
2721,fact people comments assume it's shows people don't understand destructive war,1
2722,needs coming stream packages,1
2723,schrodinger claim russians it's true fog makes drones artillery blind reduce assaults dispatched infantry groups successfully liquidated oh forget mention mutiny th brigade reserves,1
2724,d survive return fire moves away,1
2725,thank appreciate guys it's important way improve situation create pressure politicians end day big decisions glad sweden,1
2726,weaponry west vuhledar hold russian soldier help needs delivered quick constantly wunderwaffe weapons constant flow ammo armored transporters mortars thermals etc needed,1
2727,information area like hoping enter vuhledar right th th brigades publicity stunt market shoigu's creation amidst growing popularity wagner failed,1
2728,ukrainian military expert oleksandr kovalenko recently said socalled private military company patriot affiliated shoigu present vuhledar area confirm information haven't participated single combat operation,1
2729,enemy attacks daytime reduces nighttime combats artillery shelling brief tank shootandscoot attacks armed thermal scopesincluding french ones tanks shots retreat,1
2730,changes happened past hours enemy continues attack numerous groups results drop morale visible enemy engage openly confidently previously,1
2731,problem probably seen drones better jobs easy know fact copied lowres m planet imagery tried find aware,1
2732,thanks dan try share avoid accidental discoveries russians know source image thanks,1
2733,dead afraid needs cope,1
2734,known car thief convict car detailer war criminal war social elevator elevator took anticipations great candidate icon sums socalled russian world,1
2735,ukraine doesnt receive things things getting slow little late things need delivered constantly wait packaged approvals lendlease exactly adopted reason wait package approvals,1
2736,let's wait till reveal publicly tell great job,1
2737,post information enemy reveals known fact social media sorry treason,1
2738,problem talking help needed it's little bit late let's m abrams crews april wouldn't help right week need yesterday,1
2739,yes sunk cost fallacy forgot word it's difficult assaulting day stop far situation significantly improved comparison days,1
2740,need stuff quicker currently comes unfortunately people idea quickly run things days active combat it's larger things simple things like javelins indefinite,1
2741,personally enemy generals act like gambler trying win money lost borrowing money friends family battle vuhledar likely longer bloodier anticipated,1
2742,instead frantically started units areas example moved brigade d army corps battalions th army enemy abruptly moved reserves supposed advance different sector,1
2743,thought accept failure concentrate holding gains instead developing assault especially units th brigade reserves refused assault dachi area,1
2744,days ago wrote enemy interesting decisions like shed light days assault clear ru command plan rapid sudden assault failed,1
2745,correct kreminna area talking,1
2746,picture clear days info moment area cant add,1
2747,mean deputy minister minister defense wouldnt,1
2748,like trying find original post mod cant find,1
2749,link source look thanks,1
2750,usually staff units mobilized previously served conscript service vdv,1
2751,think recorded hopefully released soon,1
2752,enjoying ukrainian flag vuhledar,1
2753,enemy start assault time didnt start morning doesnt mean wont start later concentrated significant assault forces kreminna area better observe things developchange quickly,1
2754,usually reason simple silent relatives hear advancefrom russian sources information far worse consequences feel like truth government silent,1
2755,error intentional believe mistake reporting early instead giving time development reporting public apologize sure avoid future given public trust,1
2756,quick update despite initial information enemys intention start offensive operation today continuous artillery fire concentrated vdv forces didnt develop large offensive said originally instead local attempts,1
2757,think criticism wrong time appeared like anticipated morning intensified artillery fire movements units looked like finally decided advance didnt develop waited,1
2758,vuhledar update enemy tried armored assault sustained casualties retreated enemy lost approximately armoredtank platoon,1
2759,somebody noted it's little bit different mobilizedcontract soldiers vs wagner bakhmut wagner executes spot flee refuse fight it's difficult regular forces scale,1
2760,update enemy continues artillery shelling ground force assaults moment,1
2761,brought brigadesand that's publicly posted videos telegrams fog resume nonstop assaults againhow brigades needs eliminated stop,1
2762,enemy continues increase reserves close vicinity vuhledar forming new assault groups replacestrengthen troops frontline think enemy resume larger offenses weather conditions allow drones better visibility,1
2763,enemy resumed attacks morning occupiers changed tactics try assault smaller squads days results,1
2764,it's hard push regiment public domain surprise shelling hard area past days leave reporting officials,1
2765,try assault doesnt mean succeed,1
2766,update large offensive russian forces kreminna area start th air assault vanguard assault,1
2767,correct wind issue particular case explaining asked foggy weather makes sides blind especially difficult assaulting rely visual optics drones blinddead,1
2768,units defend vuhledar units trying tell successes assaulting got hours generous today orcs killed today,1
2769,fog drones optics dont far,1
2770,hey david problem ability advance directly correlates ability target things like fog orand wind hinders drones optical flying abilities temperature soil hope helps,1
2771,russians somebody it's propaganda independent check names numbers brigades sides known public enemy failed achieve successes despite having huge numerous advantage,1
2772,it's better today days issues operating drones,1
2773,live alternative reality soldiers battle thinking parts vuhledar taken bakhmut ru control severe censorship feed grunts propaganda informational reports podolyaka,1
2774,kaskad drone stuff rest st army corps known dnr participate things can't talk right hopefully soon tell,1
2775,want separate article little bit later situation chill time interesting facts like,1
2776,it's likely enemy resume assault soon weather conditions allow losses replenished mobilized volunteers,1
2777,information fields confirms enemy's morale low level forced enemy repressive measures occupiers troops informational bubble misinform troops successes,1
2778,large number reserves vuhledar area indicates enemy doesn't plan assaults attempts siege vuhledar,1
2779,experienced motivated forces eliminated days assaults th brigade sustained high casualties men armor importance battlefield dwindling,1
2780,enemy hasn't reduced number assaults quality assaults dropped significantly reasons,1
2781,vuhledar holds previous assaults repulsed far enemy failed establish control near vuhledar information russian forces vuhledar psyops,1
2782,wouldnt argue person thinks direct artillery hit kills seconds time drop ground saving life shrapnel basic things point continue dialog,1
2783,khodakovsky depressed lately anticipating blame russian generals things like wanted wait,1
2784,thats exactly correct assault directions list units looks awfully familiar,1
2785,that's good theory it's little bit different real life don't want twitter debate gmlrs going trench people squad request pgm strike it's shell velocity,1
2786,great example tanks efficient cant replaced ifvs completely need annoying thing tank unlike artillery wont time hide react,1
2787,high losses assaulting units squad platoon company brigade meat throw,1
2788,little bit later probably tomorrow things developing,1
2789,brigade separate units th army,1
2790,battalionsized assault unit kaskad unit,1
2791,smaller detachments donetsk forces,1
2792,separate special forces groups gru,1
2793,understand scale assault list concentrated forces near vuhledar list numbers units omitted purpose update necessary,1
2794,th naval infantry brigade,1
2795,good questions cant discuss moment unlikely scenario today,1
2796,enemy doesn't abandon idea assault vuhledar signs enemy reduce pressure fulfill orders battle continues vuhledar holds,1
2797,enemy interesting decisions near time unfortunately talk publicly moment,1
2798,situation hasn't changed significantly enemy continues assault different directions attempts flanks attempt failed far,1
2799,stories like tell killing units artillery friendlyfire,1
2800,nearest days cant right,1
2801,thank mark definitely look little bit time,1
2802,correct gazillion photos videos showing gains it's true reached vuhledar close day omitted important detail longer pulse,1
2803,situation difficult stable enemy continues replenish losses additional manpower lost advantages able days,1
2804,it's known trying return wounded people frontlines days injury squads platoons sustained casualties significantly demoralizes enemy,1
2805,enemy demoralized losses bringing additional reinforcements nearest days able throw large assault,1
2806,vuhledar holds situation stable moment enemy attempts establish footholds near vuhledar develop assault failed attempts outflank control roads completely failed retweet,1
2807,vuhledar brief update following days difficult sustaining losses enemy decided bring additional reinforcements improve situation replace demoralized units,1
2808,situation difficult change time situation somewhat improved it's developing early don't need read general staff know what's happening vuhledar,1
2809,issue losing vuhledar railroad obviously big deal opens possibilities advance northwards westwards best scenario lightly,1
2810,it's possible enemy utilize reserves directions areas retain pressure enemy artillery fire continues level vuhledar enemy elite naval brigades th th assault highlighting importance,1
2811,information spread russian propagandists reaching vuhledar factually incorrect attempts establish control eastern dachi area failed far situation overall remains difficult,1
2812,enemy attempted use large number vehicles assault losing majority vehicles switched tactics constant small infantry squad assaults covered nonstop artillery shelling enemy continues assault mykil's'ke pavlivka,1
2813,vuhledar update uaf continues control vuhledar roads connect vuhledar enemy tries establish fire control roads far failed achieve goals enemy failed set foothold near vuhledar,1
2814,enemy puts maximum pressure specified dachi previous tweet,1
2815,situation remains difficult enemy successes dachi area tries establish control develop attack outskirts vuhledar despite high losses deserters enemy continues throw assault groups shell town,1
2816,vuhledar update information russian forces setting foothold vuhledar psyops enemy units refused assault witnessing high casualties waves retweet,1
2817,actively use sus helicopters airsupport assault core assaulting forces th th naval brigades auxiliary battalions donetsk despite heavy losses enemy continues assaulting attempts,1
2818,update vuhledar situation enemy continues assault directions tries foothold residential area north pavlivka mykilske enemy shells vuhledar nonstop second day artillery,1
2819,good answer handle better having,1
2820,check bio don't ask questions,1
2821,yesterday talking right it's war situation change moment,1
2822,russian occupational forces started offensive vuhledar wrote preparations significance vuhledar updates situation come,1
2823,thank complimentary comment unfortunately cant publish information cant publish documents statements trying best causing harm dont want enemy know know,1
2824,dont recall calling strategic word successes quotation marks purpose afraid escaped attention,1
2825,guess dont know mean word taken quotation marks,1
2826,unfortunately scope public discussion depends brigade brigades equally,1
2827,significant difference remembering ancestors deeds paying honor versus weaponizing wage genocidal war neighbor,1
2828,definitely equipment continue supply selected elite assault units guess mobiks,1
2829,note regiments ones list ww era ironically rifle regiments close today despite having formal names like motor rifle,1
2830,depends unit units completely mobiks including officers experienced officers soldiers mixed freshly mobilized attach volunteer battalions regular assault vdv naval infantry brigades it's inconsistent,1
2831,think soledar successes inspired build large number platoonlevel infantry assault groups wagner role model think won' work reasons,1
2832,russian occupational forces undergoing restructuring coming weeks lot new regiments brigades names wwera units russia continues saturate previously destroyed units large numbers infantry,1
2833,clear message war criminal committed notorious barbaric war crimes ukrainian people unpunished list notorious crimes civilians pows goes way,1
2834,tell guy special acccount wont survive war wont survive aftermath matter,1
2835,it's called combined arms needed people ground know better need tanks means need tanks,1
2836,opinion modernized retired ma better substitute option logistical constraints thanks,1
2837,absolutely wasnt criticizing adding context people read understand soldier ua javelin thermal scope ru tank broken driven drunk conscript,1
2838,rob think messages like girkins journalists experts analysts extrapolate problems specific unit brigade army example th brigade near vuhledar painintheass tankers dangerous ruthless,1
2839,dont think completely resolved issues dismissing equally wrong slowly adapting improving need pressing logistic lines letting recover adapt,1
2840,cant tell especially shipping containers photos offloaded spgs specific photos dont want speculate dont know tag unidentified cargo,1
2841,best way russia away ukraine pushing russian logistical routes saving lives thousands ukrainian soldiers,0
2842,helpful like retweet message thread help algorithm,1
2843,ukraine deepstriking capabilities russians major logistics hubs slightly away longestranged weapon ukraine significant numbers,1
2844,sokolohirne station remains busy main war focus currently concentrated east,1
2845,cargo moved shipping containers civilian trucks making difficult identify contain ammo mre construction materials,1
2846,sokolohirne rof vehicles personnel supplies construction materials zaporizhzhia crimea kherson regions ease logistical constraints actively use civilian trucks,1
2847,enemy artillery air fire control territory,1
2848,unjustified risk strong ew ad radar intelligence saturation area,1
2849,mind possible fire himars edge range looks like target range details independent observer aware,1
2850,sokolohirne tiny town located right border kherson zaporizhzhia oblast unfortunately outside reasonable means ukraine use establish persistent fire control area,1
2851,damage wasnt significant anticipated russian occupational forces forced abandon major supply routes supply routes south,1
2852,myrne station received trains day loaded ammo vehicles troops supplies stored facilities station soon ukrainian reach facilities stricken,1
2853,kherson liberation russian occupational forces rof continued utilize myrne railway station surrounding facilities provide continuous logistical support entire kherson army group,1
2854,series defeats fall russian occupational forces faced logistical constraints able adapt require sophisticated answers ukraine allies,1
2855,lot wishful thinking sure chaos yes stupid stuff time arent complete morons eventually stuff gets sorted dont learn simply die stupid advancing crimea right,1
2856,that's mobilize hundreds thousands people don't frontlines involved sort jobs manual stuff conscripts it's problem volumes it's big cause major issues right,1
2857,thats partially correct ww period cold war ussr running military industry independently nato main rival easy moscow celebrating victory,1
2858,incorrect se tanks produced dont think noticeable impact producing barrels overwhelming majority right,1
2859,wouldn't biing seriously it's true fire lot early stages invasion don't artillery guys love complain shortages having advantage,1
2860,good question difficult right number current ammo stocks especially manufacturing capabilities good wellgrounded estimates estimates wrong,1
2861,thank good analysis great constructive feedback dont agree certain things definitely mind opened substantial analysis,1
2862,need fire dont use aks use ak akms,1
2863,wouldnt propaganda delivering message making fun victims rocket attacks dude needs gone platform amassed half million subscribers,1
2864,wellversed twitter moderation rules possible mass report ban ruzzian constantly makes fun ukrainian civilian casualties whilst calling ukrainians ethnic slurs,1
2865,infantry uses rocks sticks,1
2866,high quality steel alloys need produce parts year old tanks making s s sarcasm genuine question,1
2867,ammo cruise missiles ammo general term includes calibers small firearms mortars tank artillery shells guided missiles unguided rockets running cruise missiles doesnt mean short ammo example,1
2868,people forget survivorship bias dont videos attack fails successful attacks wants share fails,1
2869,issue documented way provide evidence record photos people ready witness especially comes generals words need substantial facts legit evidence,1
2870,explain lot problems especially old colonelsgenerals mentality ruzzian counterparts finished ruzzian universities soviet period obviously criminal hard legally,1
2871,actions speak louder words,1
2872,data production spoke mentioned spoke current numbers absence significant shortages based know supplies sure address,1
2873,hold plot gets thicker,1
2874,shelling severe ammo shortages,1
2875,talk want indicators exact numbers eyes speculate foreign origin sure real numbers dont significant supply drop lets copium like ruzzians,1
2876,yes sir got absolutely right,1
2877,incorrect border guards civilians military war time ministry defense control,1
2878,potentially yes idea plans can't speculate tell people let draw conclusions,1
2879,maybe theory it's little bit nuanced complicated talk little bit later short depends unit area attacks big difference mechanized brigade btg attack versus wagner infantry,1
2880,weird data assessment opinion frontline smaller marchjune tactics adjustments battlefield delivery issues makes fire that's drop far,1
2881,past weeks busy able provide weekly updates try casual routine soon situation allow helpful like thread,1
2882,russia continues buildup units emphasis offensive capabilities compromised mobilized mixed rotated units,1
2883,continue observe massive preparations mobilized units formations new regiments organizational units unlike initial mobilization time putting effort preparing supplying units,1
2884,logistical routes disrupted people falsely assumed russians running ammo false factually incorrect,1
2885,russian logistical routes significantly disrupted multiple times forced change ways deliver supplies transport makes harder deliver makes safer,1
2886,yes russians occasional shortages types ammo overall continue observing significant efforts organize logistics humongous numbers supplies entire russia,1
2887,despite continuous reports osint groups researchers officials based available information can't confirm russians having critical logistical issues major points,1
2888,laugh people bring gas guzzler problem idea t gas consumption,1
2889,ear flaps lower ears,1
2890,hat caracul usually worn generals colonels winter uniform including ukrainian army,1
2891,socalled truce russian occupational forces looking way regroup forces tactical changes cover truce hit use propaganda satanists sacrilegious ukrainians,1
